ID,Gender,Grade,Horoscope,Subject,IntExt,OptPest,ScreenTime,Sleep,PhysActive,HrsHomework,SpendTime1,SpendTime2,Self1,Self2,Career,Superpower
1,male,4,Scorpio,Math,Extravert,Optimist,1,7,10,10,baseball,relaxing,active,competitive,professional baseball player,sonic speed
2,female,4,Capricorn,Gym,Extravert,Optimist,1,8,5,0,playing outside,swimming,kind,active,Teacher,power to grant wishes
3,male,4,Taurus,Math,Introvert,Optimist,4,9,22,1,video games,soccer,active,creative,professional soccer player,powerful kick
4,male,4,Aquarius,Math,Don't Know,Don't Know,3,9,9,1,video games,sports,active,responsible,professional hockey player,teleportaion
5,male,4,Scorpio,Gym,Don't Know,Don't Know,1,9,10,1,reading,hanging out,intellegent,strong,engineer,power to answer any question
6,male,4,Pisces,Gym,Extravert,Optimist,2,9,20,2,sports,playing with friends,funny,active,professional hockey player,fly
7,male,3,Scorpio,Art,Introvert,Optimist,1,11,4,14,watching TV,reading,joyful,lazy,artist,telekinesis
8,male,6,Taurus,Math,Extravert,Optimist,4,9,12,21,video games,playing outside,fun ,confident,banker,teleportation
9,male,6,Aries,Gym,Introvert,Pessimist,6,8,4,6,video games,biking,sad,calm,computer scientist,materialize anything
10,male,6,Pisces,Math,Introvert,Don't Know,3,9,12,3,video games,dungeons and dragons,smart,tired,Teacher,manipulating physics
11,female,4,Leo,Gym,Don't Know,Optimist,1,10,5,0, reading ,drawing,funny,athletic,swimmer,flying
12,female,4,Scorpio,Math,Don't Know,Optimist,1,10,5,0,tv,lego,caring,responsible,idk,teleportation
13,female,4,Taurus,Art,Extravert,Optimist,0,9,5,0,reading,outside,kind,active,doctor,invisibility
14,male,7,Leo,Gym,Extravert,Don't Know,5,8,14,4,sports,idk,living,annoying,sports analyst,time travel
15,male,8,Sagittarius,Gym,Don't Know,Optimist,6,9,25,2,sports,tv,athletic,energetic,athlete,strength
16,female,8,Cancer,Gym,Introvert,Optimist,5,7,6,3,read,watch,idk,idk,architect,teleportation
17,male,8,Leo,Science,Introvert,Optimist,8,7,2,0,house,idk,idk,idk,scientist,invisibility
18,male,8,Scorpio,Gym,Introvert,Optimist,4,8,10,0,soccer,ps4,awesome,amazing,rich,regeneration
19,male,8,Cancer,Math,Introvert,Optimist,2,9,10,3,soccer,ps4,funny ,smart,soccer player,reading minds
20,female,8,Capricorn,Art,Extravert,Pessimist,3,8,10,5,phone,tv,smart,happy,doctor,teleportation
21,female,5,Cancer,Art,Introvert,Optimist,2,9,2,1,bike ,soccer,quite,pretty,vet,invisable
22,female,6,Virgo,Science,Introvert,Don't Know,1,8,5,2,sports ,phone ,sporty,smart,scientist,shape shift
23,female,5,Pisces,Art,Extravert,Optimist,1,9,1,8,read ,bike ,nice,kind,auther,fly
24,female,6,Taurus,Art,Introvert,Optimist,4,9,6,4,drawing,ranbowloom ,nice,happy,dessinger,invisible
25,female,6,Pisces,Science,Extravert,Optimist,1,8,7,4,sports ,talk,fun,kind,teacher,telaport
26,female,6,Gemini,Art,Introvert,Pessimist,3,6,14,3,read ,play,wierd,awkward,rich man,telaport
27,male,6,Libra,Gym,Extravert,Pessimist,1,10,5,2,read ,play,rebel,small,dessinger,shape shift
28,male,6,Scorpio,Science,Introvert,Don't Know,3,10,5,5,video games,talk,funny,loud,dont know,shape shift
29,female,6,Virgo,Math,Don't Know,Pessimist,4,9,14,14,read ,play,anoying,fun,engenier ,fire
30,male,6,Gemini,Science,Extravert,Optimist,4,9,9,10,play,tv,talk,awsome,teacher,
31,female,8,Cancer,Science,Extravert,Optimist,9,8,8,35,reading,playing games,childish,annoying,vet,fly
32,female,8,Gemini,Science,Don't Know,Don't Know,10,5,5,20,netflix,texting talking,moody,intense,doctor,change probability
33,female,8,Scorpio,Science,Extravert,Don't Know,10,3,7,20,netflix,eating,loud,unpredictable,idk,read minds
34,female,7,Cancer,Art,Introvert,Pessimist,3,9,3,2,reading,playing games,shy,curious,idk,time travel
35,female,7,Gemini,Gym,Don't Know,Optimist,3,8,7,5,sports,reading,creative,curious,arcitect,fly
36,male,8,Aquarius,Art,Don't Know,Optimist,4,8,7,6,reading,youtube,quiet,expressive,geneticist,teleport
37,male,8,Taurus,History,Don't Know,Don't Know,5,10,7,8,reading,playing games,curious,friendly,landscaper,have everything
38,male,7,Virgo,Math,Introvert,Pessimist,2,9,14,4,rubix cubes,piano,shy,persistent,physisist,teleport
39,male,8,Taurus,Math,Extravert,Optimist,2,9,10,3,sports,video games,tall,asian,lawyer,munipulate time
40,male,8,Aquarius,Gym,Extravert,Pessimist,2,9,9,3,sports,summer school,funny,energitic,sergent,invincible
41,male,5,Pisces,Math,Don't Know,Pessimist,1,9,9,4,staring blankly into space,looking at nothing,simple,n/a,mechanic,invisibility
42,male,5,Capricorn,Gym,Extravert,Don't Know,6,8,11,18,18,sporty,strong,vet,controlling minds,
43,male,5,Capricorn,Gym,Extravert,Pessimist,4,8,14,5,ball hockey,being myself,talkative,beyond not annoying,n/a,wishes
44,male,5,Taurus,Gym,Extravert,Pessimist,1,9,12,1,baseball,sleeping,n/a,n/a,n/a,speed
45,female,5,Libra,Science,Don't Know,Optimist,3,8,7,2,crafting,making things,creative,caring,scientist,wishes
46,male,5,Libra,Gym,Extravert,Pessimist,1,11,5,1,watching tv,sports,talkative,caring,athlete,reading minds
47,male,5,Gemini,Gym,Extravert,Optimist,2,10,11,2,sports,playing video games,empathetic,kind,sports journalist,invisibility
48,female,5,Taurus,Art,Extravert,Optimist,1,7,5,1,reading,swimming,optimistic,extravert,doctor,wishes
49,female,5,Leo,Math,Introvert,Optimist,2,10,6,6,watching pokemon,reading,nice,outgoing,lawyer,fly
